cluster_0_gene_name	cluster_0_score	cluster_0_pval	cluster_0_pval_adj	cluster_0_log2foldchange	cluster_1_gene_name	cluster_1_score	cluster_1_pval	cluster_1_pval_adj	cluster_1_log2foldchange	cluster_2_gene_name	cluster_2_score	cluster_2_pval	cluster_2_pval_adj	cluster_2_log2foldchange	cluster_3_gene_name	cluster_3_score	cluster_3_pval	cluster_3_pval_adj	cluster_3_log2foldchange	cluster_4_gene_name	cluster_4_score	cluster_4_pval	cluster_4_pval_adj	cluster_4_log2foldchange	cluster_5_gene_name	cluster_5_score	cluster_5_pval	cluster_5_pval_adj	cluster_5_log2foldchange	cluster_6_gene_name	cluster_6_score	cluster_6_pval	cluster_6_pval_adj	cluster_6_log2foldchange	cluster_7_gene_name	cluster_7_score	cluster_7_pval	cluster_7_pval_adj	cluster_7_log2foldchange	cluster_8_gene_name	cluster_8_score	cluster_8_pval	cluster_8_pval_adj	cluster_8_log2foldchange	cluster_9_gene_name	cluster_9_score	cluster_9_pval	cluster_9_pval_adj	cluster_9_log2foldchange
aldob	68.92398	0.0	0.0	1.0159713	im:7138239	65.29413	0.0	0.0	2.8014245	si:ch211-246m6.4	43.944263	0.0	0.0	3.053215	marcksl1b	23.975054	5.064118206715423e-127	3.1734296742382196e-123	0.4313148	xbp1	42.32991	0.0	0.0	3.3253634	LOC110439627	43.633396	0.0	0.0	6.9275355	sox32	36.406494	3.360286852275968e-290	8.42289502391494e-286	5.6955576	cldne	29.96889	2.496808637642931e-197	6.175581211531881e-193	8.96312	plekhg5b	6.5845156	4.563712190601491e-11	6.213676542333865e-07	5.613798	nanos3	6.7044287	2.0219591219021424e-11	1.0192497022710342e-07	12.160448
si:ch211-222l21.1	63.390144	0.0	0.0	0.6088298	tbx16	59.86318	0.0	0.0	1.7480121	mt-rnr2	42.473663	0.0	0.0	2.422381	h2afvb	23.40584	3.726714125536475e-121	1.8682763254139456e-117	0.400257	chd	38.700127	0.0	0.0	3.8296466	LOC110439626	41.823063	0.0	0.0	8.114172	cxcr4a	34.702965	7.107156776274188e-264	8.90739958770444e-260	3.328927	zgc:153665	29.939508	6.026223638977059e-197	6.175581211531881e-193	8.713403	tmem106ba	6.572196	4.957852503258489e-11	6.213676542333865e-07	5.9584804	ddx4	6.7043047	2.0236740952017846e-11	1.0192497022710342e-07	5.7447157
id1	60.360252	0.0	0.0	1.3326187	rbm38	58.065716	0.0	0.0	2.7053647	rps11	42.04824	0.0	0.0	1.4336792	h3f3a	23.05986	1.1712922436134189e-117	4.893268563068993e-114	0.4645589	kirrel3l	35.7255	1.589092729336825e-279	1.327739945118562e-275	3.4955518	mt-rnr1	39.376633	0.0	0.0	3.6127186	cdh6	33.298183	4.102127868144968e-243	3.4274645714307254e-239	4.7507334	lye	29.932695	7.391184726161192e-197	6.175581211531881e-193	7.8291836	f11r.1	6.3584323	2.0382308723156575e-10	1.45304242131694e-06	4.12318	dnd1	6.704119	2.0262492258120434e-11	1.0192497022710342e-07	11.921177
sox19a_1	58.61802	0.0	0.0	1.6110839	msgn1	56.274567	0.0	0.0	2.6592736	rpl17	40.370743	0.0	0.0	1.0198282	cbx3a	22.872404	8.747941805661789e-116	3.132512990010263e-112	0.50717896	foxa3	35.593204	1.7845911913748362e-277	1.118314070075041e-273	3.9158194	zgc:158463	35.715065	2.3076147179815257e-279	6.426963391213881e-276	2.3288734	flrt3	32.65868	6.033667464826443e-234	3.78099771683349e-230	3.7313857	pfn1	29.916094	1.21538791082939e-196	7.616228343212372e-193	4.934158	sox32	6.2811728	3.3602825013075015e-10	1.45304242131694e-06	5.0872827	ca15b	6.7038717	2.0296877245989992e-11	1.0192497022710342e-07	10.8425455
si:ch73-1a9.3	58.20194	0.0	0.0	0.5409789	snai1a	54.64354	0.0	0.0	1.9028131	rpl18a	39.808445	0.0	0.0	1.3097299	LOC110439626	22.46544	9.040879275449218e-112	2.517985332426779e-108	-3.6627865	nog1	34.65702	3.501757878977658e-263	1.7555012598890797e-259	4.6621175	mt-rnr2	33.823048	9.041168899394171e-251	1.4164121227013392e-247	1.9657214	foxa2	29.664639	2.1960868297777493e-193	1.1009422495041814e-189	3.8646045	hsd17b12a	29.81664	2.3776327356099333e-195	1.1919548430159718e-191	8.657827	cyp2aa8	6.2646437	3.7367861317479975e-10	1.45304242131694e-06	4.393164	tdrd7a	6.703624	2.0331319362304202e-11	1.0192497022710342e-07	10.040017
polr3gla	50.16154	0.0	0.0	0.86142117	cyp27c1	53.871475	0.0	0.0	2.375031	prmt1	39.429035	0.0	0.0	1.3054787	dynll1	22.437574	1.6922621663536424e-111	4.24182434618204e-108	0.40286678	foxa2	31.056318	9.37395745323484e-212	3.916126958713075e-208	3.5101185	lye	29.43033	2.247914911983051e-190	1.5228712211828961e-187	3.8621595	sox17	28.628141	3.000245982524452e-180	1.2534027632992987e-176	5.4650955	krt92	29.778894	7.330987812631441e-195	3.062642341856995e-191	8.933671	pkd1l1	6.252634	4.03587460195066e-10	1.45304242131694e-06	11.435282	gra	6.6660466	2.6278597675324375e-11	1.097832215549468e-07	5.919087
sox3	48.791878	0.0	0.0	1.4794216	hes6	51.75113	0.0	0.0	1.4671019	ulk4	38.957615	0.0	0.0	5.147068	hnrnpaba	22.1627	7.868648666010483e-109	1.6436295621851564e-105	0.3627859	hspa5	30.349592	2.5437491336383804e-202	9.108802254825664e-199	2.1273563	krt4_1	24.941845	2.617930768178871e-137	7.056027165072214e-135	4.628946	cyp2aa8	28.299902	3.465547629458893e-176	1.2409630982859515e-172	3.327841	krt97	29.681795	1.31915668698191e-193	4.723711645126936e-190	9.217219	dnah5	6.2383027	4.4234461671661926e-10	1.45304242131694e-06	9.697072	mid1ip1l	6.637941	3.180953256409724e-11	1.139053918930945e-07	6.008319
mex3b	48.317234	0.0	0.0	1.1786942	cxcl12a	49.66534	0.0	0.0	2.317262	rplp1	38.178596	0.0	0.0	1.0240475	hnrnpa0b_1	21.326313	6.47114252045525e-101	1.0137853651108205e-97	0.76789385	btg2	28.415016	1.3192200825811308e-177	4.133446323747328e-174	1.1682781	pfn1	24.595896	1.3975887061229074e-133	3.468510743334336e-131	1.0424453	gatsl2	28.248062	1.5035111103723164e-175	4.71087618657406e-172	3.5974114	si:ch211-217k17.9	29.583172	2.459981712857934e-192	7.707737701812121e-189	9.319362	syne1b	6.2309046	4.6374927673085134e-10	1.45304242131694e-06	9.366111	h1m	6.3458033	2.2126764090504427e-10	6.932868358657299e-07	4.1314
crabp2b	48.04763	0.0	0.0	1.2726201	aplnrb	49.529823	0.0	0.0	2.9062247	zgc:153409	37.363457	1.5331335895116187e-305	2.134973697483235e-302	1.6182626	h2afx	21.169962	1.8070540696956925e-99	2.66444807711719e-96	1.1517671	cst3	28.291523	4.3940354850908376e-176	1.2237877052142993e-172	1.8286428	cyt1	24.046907	8.993421354261162e-128	1.943354307464744e-125	4.7143908	gata5	27.81213	3.094537822208261e-170	8.618631672385807e-167	3.8318505	krt8_1	29.495794	3.2597439024438686e-191	9.078748962073112e-188	9.041029	zgc:56525	6.080781	1.1959853190366098e-09	3.330952000774629e-06	2.8139846	gtf2a1	6.3141074	2.7172553376442607e-10	7.567858032599004e-07	2.934513
pfkfb4b	47.580997	0.0	0.0	1.0923879	wu:fb97g03	49.20148	0.0	0.0	1.8415143	rpl23a	37.32234	7.12745331803742e-305	9.402986572101367e-302	1.4569128	hmgb2b	20.987907	8.458747167216626e-98	1.1779275360747331e-94	0.5207309	frzb	28.195423	6.654210690955013e-175	1.6679444517947836e-171	4.3912716	krt92	23.551367	1.2155235041705952e-122	2.361884663220166e-120	4.7419276	ahi1	27.245317	1.888295835830098e-163	4.733202342091724e-160	2.4166706	krt4_1	29.477392	5.611888068231661e-191	1.4066758631829482e-187	8.689899	st14a	5.8922133	3.810567129588576e-09	9.551567567026725e-06	2.6716576	nasp_1	6.290892	3.1564646278488193e-10	7.911994236165851e-07	2.8277984
her8a	47.205986	0.0	0.0	1.4469713	dld	48.952938	0.0	0.0	2.5375156	rpl8	37.309837	1.1366792459421492e-304	1.4246000989392956e-301	1.0103253	h3f3d	20.917585	3.7039552222491094e-97	4.886491663205062e-94	0.39717022	lft2	27.734983	2.6444355585451382e-169	6.025947428226585e-166	4.6961923	cldne	20.869635	1.0110396872332556e-96	8.53290262632619e-95	3.9721997	plpp3	26.559343	2.0031822217912515e-155	4.564705961038137e-152	3.9003558	cyt1	29.428415	2.378402414105481e-190	5.419730446542544e-187	8.673432	dspa	5.818978	5.920859959271272e-09	1.2587111750942442e-05	2.8671894	rgs14a	6.21354	5.180408761355187e-10	1.1804738728375373e-06	8.078423
sox2	46.630806	0.0	0.0	1.4700307	si:dkey-261h17.1	48.65187	0.0	0.0	2.5605075	rps18	37.124535	1.1294620929638511e-301	1.3481474677253282e-298	1.6689476	sox32	20.755869	1.085033448880536e-95	1.295116591887596e-92	2.1317506	admp	27.712944	4.875789806457843e-169	1.0184712274056024e-165	2.77891	cyt1l	13.488206	1.835112205040001e-41	1.731887143506501e-40	3.9852335	plekhg5b	26.36448	3.5021709336202797e-153	7.315451385177161e-150	3.2060704	si:ch211-125o16.4_1	29.393425	6.663962040701003e-190	1.3919906042684278e-186	8.776555	abca1b	5.816037	6.025905250590812e-09	1.2587111750942442e-05	4.8058677	ndel1b	6.1572666	7.401115474359111e-10	1.5459696706690457e-06	6.0827017
hmgb2a	46.110302	0.0	0.0	0.5006819	ta	48.609745	0.0	0.0	1.8941748	ppiaa	37.057358	1.3670132639518502e-300	1.5575252033735034e-297	1.2081844	si:dkey-261m9.17	20.259987	2.900355612480735e-91	2.908012551297684e-88	0.6524541	rrbp1b	27.659489	2.145882316461027e-168	4.1375912418778536e-165	4.285091	eppk1	11.978775	4.5905804370756066e-33	3.6105268037570493e-32	4.0261126	asph	25.866282	1.5960215621774363e-147	3.0773751136568935e-144	2.0882168	mid1ip1a	29.354267	2.1078852158528644e-189	4.06432698619753e-186	8.922264	foxj1a	5.769081	7.97049758940798e-09	1.4046662396638077e-05	8.281647	ppdpfb	6.1229396	9.186460640957995e-10	1.7712909417404084e-06	2.8945122
cxcr4b	45.0947	0.0	0.0	1.3349508	znfl2a	46.485516	0.0	0.0	1.1754924	cfl1	36.948357	7.739774218014812e-299	8.435007849946055e-296	0.9100743	hmgb2a	19.87684	6.457399522580683e-88	5.994858386407682e-85	0.38763413	ssr4	26.734142	1.8880693156677072e-157	3.3804532476090534e-154	1.1323607	krt17	11.327715	9.566811243537538e-30	7.024068266857408e-29	3.807315	ackr3b	25.850283	2.4153433371333e-147	4.324499720613093e-144	4.5691075	elovl7b	29.241156	5.817664702625868e-188	1.0416113102572858e-184	7.379769	clstn1	5.7670383	8.067681429308747e-09	1.4046662396638077e-05	2.6936831	sod1	6.0931625	1.1070168265463149e-09	1.9820345553007093e-06	3.1926174
lfng	44.94808	0.0	0.0	1.2797263	cxcl12b_1	46.017357	0.0	0.0	2.586245	rpl14	36.25992	6.933660839981136e-288	6.6845824082679675e-285	1.2623701	si:ch73-281n10.2_1	19.66364	4.418629434953387e-86	3.9556201934479145e-83	0.47096837	lhx1a	26.708847	3.715210864799093e-157	6.208365035803604e-154	3.209005	mid1ip1a	10.930242	8.26280610529067e-28	5.8293131954746955e-27	3.603507	dhrs3b	25.810476	6.763890760589562e-147	1.1302912386995865e-143	3.6864026	ppl	29.234356	7.098681021065044e-188	1.1862369231601092e-184	8.617336	cdh6	5.7541304	8.708882659799748e-09	1.4046662396638077e-05	4.576588	slc16a3	6.0460825	1.4841026075179781e-09	2.409071057478566e-06	4.7240267
anp32b	44.55469	0.0	0.0	0.51445085	serpinh1b	46.002132	0.0	0.0	2.3597822	rps7	36.03954	2.011258267227401e-284	1.80050713308293e-281	0.77983344	LOC110439627	19.386032	1.0125380296477741e-83	8.460092750383702e-81	0.9571287	ssr2	26.669691	1.0579569094386288e-156	1.6574217432492917e-153	1.4535017	dnase1l4.1	9.554296	1.2442771321358466e-21	7.627549668407222e-21	3.152868	gpm6ab	25.057337	1.452310678614179e-138	2.275226216883938e-135	5.544426	si:dkeyp-67a8.4	29.147179	9.071165088127752e-187	1.4211114006188139e-183	8.404142	LOC567790	5.749209	8.966193183843025e-09	1.4046662396638077e-05	7.415169	zgc:158564	5.9962783	2.018907308472404e-09	2.661965130909292e-06	2.696041
her2	43.99938	0.0	0.0	1.3471669	ephb3	45.975857	0.0	0.0	2.0024204	rps16	35.98402	1.4874474524985678e-283	1.2856675118734173e-280	1.3518732	hspb1	18.67716	7.595388267024981e-78	5.010157955296004e-75	0.5075246	rrbp1a	26.479698	1.6608067909869013e-154	2.4488107660516276e-151	2.5194237	ppl	9.316363	1.2039636640075189e-20	7.224934929856948e-20	3.6820204	wu:fa11c10	24.9851	8.877157810820059e-138	1.3089108099177388e-134	2.9670956	ponzr5_1	29.075134	7.405802143668052e-186	1.0919637443128436e-182	9.389009	LOC110439423	5.5577316	2.7330303521180492e-08	4.029772870952413e-05	4.084987	dnajc1	5.991388	2.080578178994195e-09	2.661965130909292e-06	1.9792018
nova1	43.504025	0.0	0.0	1.3906853	cx43.4	45.733128	0.0	0.0	0.574929	rps26	35.66744	1.264529674010112e-278	1.0565566936245822e-275	1.3882473	lye	18.509441	1.73289920316453e-76	1.0859212856630528e-73	0.9910619	gsc_2	26.42448	7.17063449932657e-154	9.459953913690514e-151	4.2871904	krt8_1	8.679676	3.9689605589029406e-18	2.242695341962604e-17	3.2363703	s1pr5a	24.70766	8.848136224113857e-135	1.2321521255202109e-131	4.52259	si:ch73-347e22.8	29.054737	1.3406950405417441e-185	1.8669923270121864e-182	9.22167	cldne	5.5177402	3.433869237054503e-08	4.7818536831115655e-05	3.8280861	npc2	5.9778924	2.260432677674532e-09	2.661965130909292e-06	2.0902302
znf800a	43.420486	0.0	0.0	1.3395107	wu:fb77a09	45.658844	0.0	0.0	2.4977307	uba52	35.16332	7.275107498520153e-271	5.52599528963352e-268	1.2605541	hnrnpabb	18.151426	1.2510814233239505e-73	6.817305860225683e-71	0.28332683	foxa	26.091925	4.502317255039591e-150	5.64275421574112e-147	2.5700107	krt97	7.745171	9.54532749458876e-15	4.967057898678884e-14	3.2967384	marcksl1b	23.734238	1.5985155628036804e-124	2.1088626893282657e-121	0.6492902	hsd17b14	29.006039	5.521211354455996e-185	7.283930726883894e-182	8.173414	lsr	5.481401	4.219712801901526e-08	5.432961961714898e-05	4.500731	org	5.9725065	2.3363613213119135e-09	2.661965130909292e-06	2.8030183
her12	43.14429	0.0	0.0	1.3564258	pcdh8	45.27781	0.0	0.0	2.4707084	mt-rnr1	35.054752	3.300228364375813e-269	2.4330448288660038e-266	2.3151295	xbp1	17.722858	2.793508117695521e-70	1.3465783553491523e-67	0.8593144	sec61a1l	25.963802	1.2701381215146135e-148	1.5160610549469192e-145	1.9103057	hsd17b12a	7.532752	4.968187088884366e-14	2.544597007968441e-13	3.0229437	abca1b	23.58412	5.6095725819358e-123	7.030477316940138e-120	3.0685647	si:ch211-166a6.5	28.998016	6.969813820875172e-185	8.735267661702853e-182	7.867204	cdh2_1	5.476634	4.33492536640461e-08	5.432961961714898e-05	2.9409137	ppfibp1a	5.853491	4.813610361937307e-09	5.245998144883502e-06	4.196497
si:ch211-170d8.2	41.698784	0.0	0.0	1.446466	helb	45.239487	0.0	0.0	1.6215227	rps28	35.036217	6.322999011226404e-269	4.528351234725744e-266	1.1821954	npm1a	17.331182	2.7364781526316985e-67	1.0552701749825561e-64	0.49197355	sec61a1	25.696516	1.2785547031610433e-145	1.4567387358833958e-142	1.2552016	zgc:153665	7.4866686	7.064374058288853e-14	3.598366188682552e-13	3.0823677	tbx16	23.387802	5.687876455813655e-121	6.789157678163099e-118	1.6532854	cd9b	28.951324	2.7005599048853923e-184	3.223439741707488e-181	4.4327416	cep350	5.4490237	5.064708447239074e-08	6.0453324732616494e-05	2.3487341	ctss2.1	5.8186684	5.931832920874716e-09	6.195305166443568e-06	3.6964128
alcamb	40.516632	0.0	0.0	1.0503662	si:dkey-210i3.1	44.346977	0.0	0.0	1.6043082	rps21	34.9078	5.661729117752995e-267	3.9421361684887935e-264	1.1886615	rbm8a	17.111572	1.2166842366271037e-65	4.2357509826798585e-63	0.37260503	sec61b	25.432566	1.1007613746656822e-142	1.1496535257237496e-139	0.8850441	bzw1a	7.0298014	2.0682778903263414e-12	1.0123697246420634e-11	-0.25885502	id3	23.296293	4.833934512651079e-120	5.5076092042778154e-117	1.9144696	cyt1l	28.934093	4.4495205903458265e-184	5.069621959891294e-181	8.515692	LOC110439434	5.4158106	6.101162081800211e-08	6.919619866076569e-05	3.7424858	zgc:153675	5.7846813	7.264984295337799e-09	7.004003705651433e-06	2.605802
si:dkey-27i16.2	40.216972	0.0	0.0	1.3690825	tbx6l	43.67096	0.0	0.0	2.9449425	rpl35	34.86833	2.2464335542832503e-266	1.521867661396323e-263	1.0686127	bzw1b	17.073996	2.3177638931236808e-65	7.850955370951105e-63	0.5064045	epha4a	25.400036	2.5195688608448533e-142	2.4290581948437342e-139	4.4171925	hsd17b14	6.9757833	3.0417087415469255e-12	1.4821825683439977e-11	3.1897445	ca9	23.14081	1.7990614969663366e-118	1.960664151432965e-115	1.5911506	si:ch211-95j8.2	28.897516	1.2828590757009414e-183	1.3980932865878173e-180	8.791887	spint1a	5.403832	6.52321273613336e-08	6.919619866076569e-05	2.184481	zgc:103482	5.771929	7.836926227849393e-09	7.102615439473634e-06	2.156072
LOC100334443	39.733932	0.0	0.0	1.0976684	cdx4	43.625977	0.0	0.0	1.6000813	rpl11	34.47492	1.906494700292419e-260	1.257584109408678e-257	0.82455987	s100a1	16.69403	1.4485019869926696e-62	4.2715471536421476e-60	0.49229467	magi1b	25.398232	2.6379046154206862e-142	2.448952484819812e-139	1.4563318	krt8	6.9330378	4.118976294702804e-12	1.999346626704502e-11	3.2839854	tsku	22.980976	7.224498397619344e-117	7.243571073389059e-114	3.0812807	abcb5	28.894146	1.4142992084887181e-183	1.477117664999092e-180	8.744878	aplp2	5.401046	6.6253441628436e-08	6.919619866076569e-05	1.998476	zgc:77118	5.769855	7.933983575570962e-09	7.102615439473634e-06	2.9122882
nrarpb	39.489964	0.0	0.0	1.1157188	her1	43.44819	0.0	0.0	2.2970366	rps5	34.187042	3.767475187985802e-256	2.2484650729060026e-253	0.7607748	id3	16.24108	2.5833874794999533e-59	6.286911704965615e-57	0.9820985	serp1	25.096117	5.483162996302702e-139	4.739343574666329e-136	0.9421165	si:dkeyp-67a8.4	6.6922693	2.1973574461227077e-11	1.0441509335452472e-10	3.208558	sash1a	22.782867	6.780584864704144e-115	6.294894082173115e-112	2.3878417	capn9	28.692566	4.7236219861375326e-181	4.7360923481809355e-178	8.3576565	bicc2	5.3483324	8.876829502736981e-08	8.900264332624206e-05	9.692428	mkrn4	5.713179	1.1088472469623038e-08	9.264788364119036e-06	2.475876
h3f3a	39.34091	0.0	0.0	0.42493767	hspa12a	43.42891	0.0	0.0	2.042974	rpl38	33.790432	2.7256926632757956e-250	1.518271384392691e-247	1.3029324	ripply1	15.893076	7.076768451341971e-57	1.529192051735671e-54	1.668958	ndr2	24.896809	8.056328783524493e-137	6.731331242927498e-134	4.578527	evpla	6.0766315	1.2273316920122765e-09	5.51331472974547e-09	3.394881	fam212ab	22.680872	6.920413124278966e-114	6.1952526918991625e-111	2.4836009	acer1	28.682978	6.221367031198922e-181	5.997876384770468e-178	8.940921	flrt3	5.310415	1.0937610744780238e-07	0.00010544698112640825	2.791121	si:ch211-241j12.3	5.691512	1.2591931039409873e-08	1.0181591723672512e-05	7.1812873
nnr	39.324696	0.0	0.0	0.72346854	sp5l	43.246025	0.0	0.0	1.1156974	fth1a	33.585297	2.7503298583582024e-247	1.4362451714501396e-244	0.849323	msgn1	15.485485	4.347681820200831e-54	8.255984280693488e-52	1.2201226	fzd8b	24.313437	1.4133381502049328e-130	1.1427978733237691e-127	4.377803	LOC101884617	5.8785176	4.139568172378893e-09	1.8239130920873498e-08	5.5658464	fscn1a	22.602537	4.0917243959074155e-113	3.5366608175108714e-110	1.9911864	evpla	28.668812	9.343476371464967e-181	8.674206619523736e-178	8.099792	dhrs13a.1	5.254451	1.4846664937322064e-07	0.00013783203826626478	6.7458825	gstm.1	5.6816688	1.3338674953676203e-08	1.044835082465149e-05	3.287185
asb11	38.526867	0.0	0.0	0.94322604	cmtm6	42.09288	0.0	0.0	0.9524461	rpl15	33.333065	1.2819337494793236e-243	6.557745176418108e-241	1.0781041	nucks1a	15.1114235	1.3616534846360175e-51	2.260344784495789e-49	0.31201652	calr3b	23.61016	3.030922971227126e-123	2.3022156120236103e-120	2.580579	cnbpa	5.7141385	1.1026124757199805e-08	4.788302896118682e-08	-0.18103154	aoc2	22.067472	6.492004118338874e-108	5.424285841009407e-105	2.5170374	lpcat4	28.642967	1.9612754148560754e-180	1.755761769599371e-177	8.587901	cldnb	5.2142735	1.845389284845389e-07	0.00016520188504976616	3.5331619	cuedc2	5.528326	3.233007632875561e-08	2.1902316033961843e-05	2.7006922
sox11a	38.017433	0.0	0.0	1.067588	LOC110439423	41.502815	0.0	0.0	1.9200715	rpl5b_1	33.32081	1.92934209889773e-243	9.672177810194099e-241	1.2969766	snu13b	15.106602	1.4650351967003853e-51	2.4001681202935854e-49	0.33115676	notch1a	23.434462	1.9040634114757226e-121	1.4037427491779549e-118	1.5539063	sall4	5.407701	6.383880819529186e-08	2.702099909191465e-07	-0.39789835	cmtm7	21.906612	2.246851300166159e-106	1.8167604738698367e-103	2.90408	si:ch211-157c3.4	28.566984	1.7283323318294314e-179	1.4938751113667769e-176	8.33332	nrip1a	5.154286	2.5459904761315053e-07	0.00022006136991280107	4.011562	tmub1	5.4974966	3.8522086960310184e-08	2.541038504597724e-05	4.587345
prdm14	37.929333	0.0	0.0	1.687383	rhov	41.408478	0.0	0.0	1.033013	rps24	33.023594	3.7248772515242313e-239	1.8307406507197328e-236	0.9053198	snrpf_1	14.788342	1.7418983710750902e-49	2.5533581619513575e-47	0.4663635	noto	22.452305	1.2150452158035965e-111	7.809313687008449e-109	3.4005568	LOC110438439	5.394167	6.884213122260978e-08	2.911417008985889e-07	0.39372265	vcana	21.873707	4.62432455955328e-106	3.6222912315550785e-103	2.6226854	cebpb	28.464014	3.268792789926563e-178	2.731185335743308e-175	8.7830715	wls	5.1234875	2.999355481596509e-07	0.00025060614833899366	2.2857008	ska2	5.4551525	4.893086385660104e-08	3.055448742248368e-05	4.2156224
map2k6	37.09965	2.846212993277207e-301	1.2300547394739047e-298	0.7764152	wnt5b	40.992905	0.0	0.0	1.5662206	faua	32.899323	2.2474212174066042e-237	1.0833434660675757e-234	1.0386931	apoc1	14.555967	5.352313179781769e-48	7.579722156181345e-46	0.78364414	fbln2	22.340008	1.5101656572767548e-110	9.232637162268081e-108	5.0915823	bzw1b	5.3374906	9.424171203845647e-08	3.9628632007313367e-07	-0.2380922	akap12b	21.234451	4.590189023780335e-100	3.486596305153875e-97	1.072111	zgc:194839	28.460505	3.6126785237750616e-178	2.921141931514377e-175	8.449552	b3gnt2b	5.0443087	4.5516351121104613e-07	0.00036748628365758303	2.7448604	zdhhc18b	5.4426475	5.249453632211935e-08	3.060065226628473e-05	2.6795845
anp32a	37.0438	2.2598889924483298e-300	9.441062914118305e-298	0.507469	si:dkeyp-2e4.3	40.651215	0.0	0.0	1.189113	rps6	32.809612	4.294293642133583e-236	2.030957819504158e-233	1.1585399	tbx16	14.427116	3.4938383492241943e-47	4.7084167775082614e-45	0.79335177	otx1b	22.31087	2.898130368644966e-110	1.7296318052489218e-107	2.4478867	ddx5	5.285165	1.255917529187904e-07	5.253809877607478e-07	-0.34653565	LOC100008030	21.080503	1.2009931451655885e-98	8.854145346094307e-96	1.3964945	eppk1	28.458303	3.846574857910509e-178	2.9899836356790524e-175	8.072061	chd	5.038521	4.691439031773182e-07	0.00036748628365758303	2.9437714	sh3gl1a	5.4227753	5.8680768403794006e-08	3.3429366836579554e-05	4.2830887
prr12b	35.537975	1.2744213908565608e-276	4.991351028626649e-274	1.0378002	flrt3	40.435707	0.0	0.0	1.4255644	rpl29	32.32591	3.0257276570063995e-229	1.3789616263731348e-226	1.0001537	sf3b6	14.371361	7.827763102244547e-47	1.0326879469519043e-44	0.4129853	creb3l2	21.621557	1.1261505075390448e-103	6.005976302547595e-101	3.0584922	si:ch211-125o16.4_1	4.8105865	1.504882515358799e-06	6.0209712897021e-06	2.965215	phldb1b	20.787983	5.559864062089547e-96	3.871209793898239e-93	2.6028967	lcp1	28.457493	3.936386339160964e-178	2.9899836356790524e-175	8.444185	npas2	4.9802976	6.348663315401423e-07	0.0004822290747389457	4.182576	tmem11	5.397548	6.7557709578021e-08	3.763114551739277e-05	2.4685607
stk40	35.415703	9.787522892065771e-275	3.774369981731086e-272	0.88171285	gid8b	39.94085	0.0	0.0	1.4244778	rpl37	32.258453	2.677810672139817e-228	1.1775789878571344e-225	1.068919	setb	14.3384695	1.2579994303971654e-46	1.625413078470894e-44	0.2566255	fscn1a	21.37617	2.2267211835763045e-101	1.1628123580734093e-98	1.3958647	lcp1	4.188943	2.8025678590732424e-05	0.00010506904869208779	2.806978	cxxc5b	20.490343	2.625344211922791e-93	1.7785642707042344e-90	3.0701714	alcamb	28.44514	5.596285143639433e-178	4.125778923837236e-175	3.0776043	rab11fip4a	4.955225	7.22465591521191e-07	0.0005326271328550051	4.7115974	si:ch211-173p18.3	5.380431	7.430769245587754e-08	4.049123084997884e-05	2.4985156
nop58	35.39394	2.1164812727694814e-274	8.038139330793913e-272	0.43091676	si:ch73-299h12.2	39.81047	0.0	0.0	1.4622622	rpl28	31.870358	6.876976767040891e-223	2.9720396490111546e-220	0.840385	cxcl12a	14.017532	1.217757419823275e-44	1.4001975910683583e-42	1.2452494	acvr1ba	21.33854	4.982799605479757e-101	2.5489562226725628e-98	1.4086274	si:ch211-217k17.9	3.804247	0.0001422362366857516	0.0005104944886547895	2.6630337	si:ch211-15b10.6	20.348673	4.7700904965040443e-92	3.146502325930799e-89	2.3736205	dspa	28.256786	1.1747168623209526e-175	8.179292464149166e-173	7.755349	si:dkey-157l19.2	4.941358	7.758026090277893e-07	0.0005556076627968733	3.5555067	si:ch211-241j12.4	5.3165436	1.0575701081880413e-07	5.410010679967641e-05	7.924457
mdkb	35.13795	1.7758793610545671e-270	6.643909263312505e-268	1.7627954	si: ch211-223l2.4	39.311596	0.0	0.0	1.6729003	rps26l	31.56614	1.076904307317942e-218	4.4989472278719225e-216	1.0776342	nog1	13.591095	4.522627337755814e-42	4.393960342952993e-40	1.5630342	wu:fb97g03	21.224812	5.635088293084488e-100	2.8249824630891157e-97	1.6036813	im:7150988	3.719864	0.00019933010775649758	0.0007094148063359887	2.7485092	aif1l	20.026773	3.218532004222962e-89	1.9677005662890916e-86	0.9214924	fuca1.1	28.206827	4.8221090899020466e-175	3.2667834174995866e-172	4.2790146	ccdc13	4.9098787	9.11327993888872e-07	0.000634537430411624	10.732883	ccdc22	5.2936997	1.1986612047017632e-07	5.697860718593261e-05	3.4278612
