cluster_0_gene_name	cluster_0_score	cluster_0_pval	cluster_0_pval_adj	cluster_0_log2foldchange	cluster_1_gene_name	cluster_1_score	cluster_1_pval	cluster_1_pval_adj	cluster_1_log2foldchange	cluster_2_gene_name	cluster_2_score	cluster_2_pval	cluster_2_pval_adj	cluster_2_log2foldchange	cluster_3_gene_name	cluster_3_score	cluster_3_pval	cluster_3_pval_adj	cluster_3_log2foldchange	cluster_4_gene_name	cluster_4_score	cluster_4_pval	cluster_4_pval_adj	cluster_4_log2foldchange	cluster_5_gene_name	cluster_5_score	cluster_5_pval	cluster_5_pval_adj	cluster_5_log2foldchange	cluster_6_gene_name	cluster_6_score	cluster_6_pval	cluster_6_pval_adj	cluster_6_log2foldchange	cluster_7_gene_name	cluster_7_score	cluster_7_pval	cluster_7_pval_adj	cluster_7_log2foldchange	cluster_8_gene_name	cluster_8_score	cluster_8_pval	cluster_8_pval_adj	cluster_8_log2foldchange	cluster_9_gene_name	cluster_9_score	cluster_9_pval	cluster_9_pval_adj	cluster_9_log2foldchange
asf1ba	17.874277	1.870836559286969e-71	7.815731532514528e-70	0.50710714	ptp4a2b	11.249953	2.317137367687079e-29	1.1455890583519588e-27	0.2618668											aff4	6.14073	8.214309692290701e-10	2.778675934506865e-08	0.48824733						efna1a	4.079401	4.515192369516061e-05	0.0010364268492151062	1.1037601	ago3b	17.79387	7.884092728249411e-71	2.8111332621095265e-69	4.1293635										
tomm20a	17.854902	2.6474310806925452e-71	1.1041681775147976e-69	0.4884987	wnk1a_1	11.243086	2.5047071063662405e-29	1.2358855970113421e-27	0.58740515											fstl1b	6.1395273	8.276746172381085e-10	2.7960231746213515e-08	1.1439106						pard6gb	4.0744557	4.6122081398827094e-05	0.0010577274403870082	0.7710443	eif5	17.780176	1.0066295580984403e-70	3.579032128127022e-69	1.0266731										
mrpl12	17.851105	2.8337268981988788e-71	1.1799036284095197e-69	0.51665753	si:dkey-177p2.6	11.241976	2.536410544577579e-29	1.2490700728955125e-27	0.4195999											atp1b2a	6.1390796	8.300101804487786e-10	2.8001393247818418e-08	0.4812019						smurf1	4.0688276	4.7250284594585525e-05	0.0010816215832400737	0.63769203	galnt6	17.744314	1.9071611187255068e-70	6.752104604798525e-69	5.7207522										
tmem39a	17.83627	3.695668947235306e-71	1.5362460668557244e-69	0.48534438	akirin2	11.240306	2.58483736750164e-29	1.2704222245842373e-27	0.267487											jagn1b	6.1169357	9.5391849660792e-10	3.2052172970474695e-08	0.6499646						pfkfb1	4.063981	4.824277595783828e-05	0.0011003215852221787	0.82843375	cx35.4	17.73901	2.0959381284863994e-70	7.399547201216913e-69	9.27713										
unga	17.821192	4.8394085327785936e-71	2.0083545411031163e-69	0.46110407	fzd7b	11.216244	3.3938040016366096e-29	1.6615056856449853e-27	0.3454891											kdm5bb	6.110587	9.926540877748938e-10	3.3309059389779766e-08	0.4942486						tfa	4.0632486	4.839442023376972e-05	0.0011027768523451562	3.7510152	ranbp9	17.736137	2.205877194548389e-70	7.776725423143449e-69	3.0518										
tfap2a	17.818794	5.0512799584604395e-71	2.0928162551862706e-69	0.9693638	chd7	11.187186	4.711494293677129e-29	2.3021114223257485e-27	0.31538144											gatsl2	6.0661817	1.3098697498566602e-09	4.371930113170046e-08	0.6615806						lrp12	4.062959	4.8454523566143166e-05	0.001103143585566707	0.5018844	clasp1a	17.717293	3.0840554357653046e-70	1.082702150600744e-68	3.196118										
ntmt1	17.790686	8.345268388782355e-71	3.451856393287434e-69	0.7477269	ttk	11.155397	6.739134726393493e-29	3.286442627466523e-27	0.32704931											spry2	6.043735	1.5058691727071034e-09	5.0061162709650205e-08	1.0886813						dhrs13a.1	4.0550523	5.012306334665425e-05	0.0011380296248616265	2.2558887	krt5	17.688124	5.177035925497056e-70	1.8149312238952337e-68	6.565314										
psmc4	17.789593	8.509662475248439e-71	3.514056006665195e-69	0.45661563	pdzd11_1	11.131007	8.862803734691654e-29	4.313690066287009e-27	0.62129086											acbd3	6.042966	1.5130643607737027e-09	5.023373677768693e-08	0.3641503						ical1	4.0500255	5.121208408246069e-05	0.001161520448648785	1.0159882	adora2aa	17.685839	5.391212287723085e-70	1.8873760782690902e-68	4.2099338										
rcl1	17.769905	1.2089697380280924e-70	4.984216357469106e-69	0.43057457	si:ch211-168h21.3	11.125565	9.42077204739372e-29	4.5763773670537004e-27	1.3841828											ppp1cab	6.029147	1.6482717703479506e-09	5.457804517244614e-08	0.355915						adam8a	4.0378895	5.393427245356517e-05	0.001217158251747665	1.3883997	gfpt1	17.665789	7.692879756763339e-70	2.681915493505283e-68	5.038448										
hnrnpabb	17.750874	1.6969507362518114e-70	6.984526626418374e-69	0.19973958	kmt2cb	11.107171	1.157692407927992e-28	5.612904815691112e-27	0.38382432											LOC100334018	6.0121083	1.8312563478889979e-09	6.041458003540326e-08	0.9869643						rxrgb	4.0378294	5.3948089750724314e-05	0.001217158251747665	4.458396	purba	17.661926	8.237950055597668e-70	2.8679507790779326e-68	2.7161984										
